spring,uframe_route,driver
ooi-nutnr-j-cspp-decode.xml,Ingest.nutnr-j-cspp_recovered,mi.dataset.driver.nutnr_j.cspp.nutnr_j_cspp_recovered_driver
ooi-nutnr-j-cspp-decode.xml,Ingest.nutnr-j-cspp_telemetered,mi.dataset.driver.nutnr_j.cspp.nutnr_j_cspp_telemetered_driver
ooi-nutnr-m-decode.xml,Ingest.nutnr-m_recovered,mi.dataset.driver.nutnr_m.nutnr_m_recovered_driver
ooi-nutnr-m-glider-decode.xml,Ingest.nutnr-m-glider_telemetered,mi.dataset.driver.nutnr_m.glider.nutnr_m_glider_telemetered_driver
ooi-nutnr-n-auv-decode.xml,Ingest.nutnr-n-auv_telemetered,mi.dataset.driver.nutnr_n.auv.nutnr_n_auv_telemetered_driver
ooi-nutnr-n-decode.xml,Ingest.nutnr-n_recovered,mi.dataset.driver.nutnr_n.nutnr_n_recovered_driver
ooi-optaa-ac-mmp-cds-decode.xml,Ingest.optaa-ac-mmp-cds_recovered,mi.dataset.driver.optaa_ac.mmp_cds.optaa_ac_mmp_cds_recovered_driver
ooi-optaa-dj-cspp-decode.xml,Ingest.optaa-dj-cspp_recovered,mi.dataset.driver.optaa_dj.cspp.optaa_dj_cspp_recovered_driver
ooi-optaa-dj-cspp-decode.xml,Ingest.optaa-dj-cspp_telemetered,mi.dataset.driver.optaa_dj.cspp.optaa_dj_cspp_telemetered_driver
ooi-optaa-dj-dcl-decode.xml,Ingest.optaa-dj-dcl_recovered,mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver
ooi-optaa-dj-dcl-decode.xml,Ingest.optaa-dj-dcl_telemetered,mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_telemetered_driver
ooi-osmoi-a-subcon-decode.xml,Ingest.osmoi-a-subcon_recovered,mi.dataset.driver.osmoi.osmoi_a_subcon_recovered_driver
ooi-parad-j-cspp-decode.xml,Ingest.parad-j-cspp_recovered,mi.dataset.driver.parad_j.cspp.parad_j_cspp_recovered_driver
ooi-parad-j-cspp-decode.xml,Ingest.parad-j-cspp_telemetered,mi.dataset.driver.parad_j.cspp.parad_j_cspp_telemetered_driver
ooi-parad-k-stc-imodem-decode.xml,Ingest.parad-k-stc-imodem_recovered,mi.dataset.driver.PARAD_K.STC_IMODEM.parad_k_stc_imodem_recovered_driver
ooi-parad-k-stc-imodem-decode.xml,Ingest.parad-k-stc-imodem_telemetered,mi.dataset.driver.PARAD_K.STC_IMODEM.parad_k_stc_imodem_telemetered_driver
ooi-parad-m-glider-decode.xml,Ingest.parad-m-glider_recovered,mi.dataset.driver.moas.gl.parad.parad_m_glider_recovered_driver
ooi-parad-m-glider-decode.xml,Ingest.parad-m-glider_telemetered,mi.dataset.driver.moas.gl.parad.parad_m_glider_telemetered_driver
ooi-parad-n-auv-decode.xml,Ingest.parad-n-auv_telemetered,mi.dataset.driver.parad_n.auv.parad_n_auv_telemetered_driver
ooi-parad-n-auv-decode.xml,Ingest.parad-n-auv_recovered,mi.dataset.driver.parad_n.auv.parad_n_auv_recovered_driver
ooi-pco2a-a-dcl-decode.xml,Ingest.pco2a-a-dcl_recovered,mi.dataset.driver.pco2a_a.dcl.pco2a_a_dcl_recovered_driver
ooi-pco2a-a-dcl-decode.xml,Ingest.pco2a-a-dcl_telemetered,mi.dataset.driver.pco2a_a.dcl.pco2a_a_dcl_telemetered_driver
ooi-pco2w-abc-dcl-decode.xml,Ingest.pco2w-abc-dcl_recovered,mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver
ooi-pco2w-abc-dcl-decode.xml,Ingest.pco2w-abc-dcl_telemetered,mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_telemetered_driver
ooi-pco2w-abc-decode.xml,Ingest.pco2w-abc_recovered,mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver
ooi-pco2w-abc-imodem-decode.xml,Ingest.pco2w-abc-imodem_recovered,mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver
ooi-pco2w-abc-imodem-decode.xml,Ingest.pco2w-abc-imodem_telemetered,mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_telemetered_driver
ooi-phsen-abcdef-dcl-decode.xml,Ingest.phsen-abcdef-dcl_recovered,mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_recovered_driver
ooi-phsen-abcdef-dcl-decode.xml,Ingest.phsen-abcdef-dcl_telemetered,mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_telemetered_driver
ooi-phsen-abcdef-decode.xml,Ingest.phsen-abcdef_recovered,mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver
ooi-phsen-abcdef-imodem-decode.xml,Ingest.phsen-abcdef-imodem_recovered,mi.dataset.driver.phsen_abcdef.imodem.phsen_abcdef_imodem_recovered_driver
ooi-phsen-abcdef-imodem-decode.xml,Ingest.phsen-abcdef-imodem_telemetered,mi.dataset.driver.phsen_abcdef.imodem.phsen_abcdef_imodem_telemetered_driver
ooi-phsen-abcdef-sio-decode.xml,Ingest.phsen-abcdef-sio_telemetered,mi.dataset.driver.phsen_abcdef.sio.phsen_abcdef_sio_telemetered_driver
ooi-ppsdn-a-subcon-decode.xml,Ingest.ppsdn-a-subcon_recovered,mi.dataset.driver.ppsdn.ppsdn_a_subcon_recovered_driver
ooi-presf-abc-dcl-decode.xml,Ingest.presf-abc-dcl_recovered,mi.dataset.driver.presf_abc.dcl.presf_abc_dcl_recovered_driver
ooi-presf-abc-dcl-decode.xml,Ingest.presf-abc-dcl_telemetered,mi.dataset.driver.presf_abc.dcl.presf_abc_dcl_telemetered_driver
ooi-presf-abc-decode.xml,Ingest.presf-abc_recovered,mi.dataset.driver.presf_abc.presf_abc_recovered_driver
ooi-rasfl-a-subcon-decode.xml,Ingest.rasfl-a-subcon_recovered,mi.dataset.driver.rasfl.rasfl_a_subcon_recovered_driver
ooi-rte-o-dcl-decode.xml,Ingest.rte-o-dcl_recovered,mi.dataset.driver.cg_stc_eng.stc.rte_o_dcl_recovered_driver
ooi-rte-o-dcl-decode.xml,Ingest.rte-o-dcl_telemetered,mi.dataset.driver.cg_stc_eng.stc.rte_o_dcl_telemetered_driver
ooi-sio-eng-sio-decode.xml,Ingest.sio-eng-sio_recovered,mi.dataset.driver.sio_eng.sio.sio_eng_sio_recovered_driver
ooi-sio-eng-sio-decode.xml,Ingest.sio-eng-sio_telemetered,mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver
ooi-spkir-abj-cspp-decode.xml,Ingest.spkir-abj-cspp_recovered,mi.dataset.driver.spkir_abj.cspp.spkir_abj_cspp_recovered_driver
ooi-spkir-abj-cspp-decode.xml,Ingest.spkir-abj-cspp_telemetered,mi.dataset.driver.spkir_abj.cspp.spkir_abj_cspp_telemetered_driver
ooi-spkir-abj-dcl-decode.xml,Ingest.spkir-abj-dcl_recovered,mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_recovered_driver
ooi-spkir-abj-dcl-decode.xml,Ingest.spkir-abj-dcl_telemetered,mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_telemetered_driver
ooi-vel3d-a-mmp-cds-decode.xml,Ingest.vel3d-a-mmp-cds_recovered,mi.dataset.driver.vel3d_a.mmp_cds.vel3d_a_mmp_cds_recovered_driver
